periode;nilai
Jan-12;13.6
Feb-12;13.6
Mar-12;13.58
Apr-12;13.62
May-12;13.48
Jun-12;13.17
Jul-12;13.32
Aug-12;13.25
Sep-12;13.25
Oct-12;13.18
Nov-12;13.1
Dec-12;12.98
Jan-13;12.98
Feb-13;12.95
Mar-13;12.92
Apr-13;12.85
May-13;12.81
Jun-13;12.83
Jul-13;12.77
Aug-13;12.78
Sep-13;12.72
Oct-13;12.8
Nov-13;12.88
Dec-13;12.91
Jan-14;12.97
Feb-14;13.04
Mar-14;13.11
Apr-14;13.19
May-14;13.18
Jun-14;13.12
Jul-14;13.17
Aug-14;13.2
Sep-14;13.28
Oct-14;13.3
Nov-14;13.35
Dec-14;13.39
Jan-15;13.45
Feb-15;13.51
Mar-15;13.52
Apr-15;13.58
May-15;13.62
Jun-15;13.67
Jul-15;13.65
Aug-15;13.56
Sep-15;13.61
Oct-15;13.69
Nov-15;13.68
Dec-15;13.66
Jan-16;13.7
Feb-16;13.65
Mar-16;13.61
Apr-16;13.59
May-16;13.58
Jun-16;13.57
Jul-16;13.56
Aug-16;13.42
Sep-16;13.4
Oct-16;13.38
Nov-16;13.35
Dec-16;13.26
Jan-17;13.24
Feb-17;13.2
Mar-17;13.1
Apr-17;13.2
May-17;13.12
Jun-17;12.95
Jul-17;12.83
Aug-17;12.61
Sep-17;12.53
Oct-17;12.41
Nov-17;12.24
Dec-17;12.17
Jan-18;12.13
Feb-18;12.06
Mar-18;11.95
Apr-18;11.9
May-18;11.84
Jun-18;11.79
Jul-18;11.63
Aug-18;11.56
Sep-18;11.52
Oct-18;11.41
Nov-18;11.44
Dec-18;11.41
Jan-19;11.35
Feb-19;11.32
Mar-19;11.32
Apr-19;11.3
May-19;11.26
Jun-19;11.26
Jul-19;11.24
Aug-19;11.22
Sep-19;11.22
Oct-19;11.18
Nov-19;11.18
Dec-19;11.1
Jan-20;11.1
Feb-20;11.06
Mar-20;11.01
Apr-20;10.91
May-20;10.86
Jun-20;10.83
Jul-20;10.78
Aug-20;10.77
Sep-20;10.75
Oct-20;10.69
Nov-20;10.66
Dec-20;10.65
Jan-21;10.61
Feb-21;10.57
Mar-21;10.57
Apr-21;10.53
May-21;10.47
Jun-21;10.47
Jul-21;10.41
Aug-21;10.38
Sep-21;10.33
Oct-21;10.29
Nov-21;10.19
Dec-21;10.13
Jan-22;10.25
Feb-22;10.23
Mar-22;10.22
Apr-22;10.27
May-22;10.31
Jun-22;10.32
Jul-22;10.31
Aug-22;10.35
Sep-22;10.41
Oct-22;10.5
Nov-22;10.52
Dec-22;10.54
