open;high;low;close;volume
1.897.500.038;1.902.499.962;1.862.999.916;1.873.999.977;9311950
1.904.000.092;1.920.499.992;1.855.500.031;1.864.500.046;11987550
1.874.500.084;1.912.999.916;1.874.500.084;1.898.500.061;4913002
1.912.999.916;1.912.999.916;1.865.999.985;1.881.500.053;6165696
1.879.500.008;19;1.860.000.038;1.898.999.977;6315277
1.888.999.939;1.888.999.939;1.860.000.038;1.888.500.023;6758293
1.888.500.023;1.907.500.076;1.861.000.061;1.863.999.939;8533584
1.888.500.023;1.888.500.023;1.820.000.076;1.844.000.053;6516565
1.844.000.053;1.872.999.954;1.835.000.038;1.858.499.908;6213554
1.853.000.069;1.854.500.008;1.815.999.985;1.828.000.069;6022900
1.828.000.069;1.863.999.939;1.805.999.947;1.860.499.954;6883514
1.879.500.008;1.888.999.939;1.805.999.947;1.816.500.092;7641821
1.816.500.092;18.5;1.805.999.947;1.844.000.053;6341627
1.827.000.046;1.827.000.046;1.792.000.008;1.804.500.008;6957834
1.804.500.008;1.837.999.916;1.799.500.084;1.823.999.977;10260543
1.823.999.977;1.863.500.023;1.802.000.046;18.5;6898626
18.5;1.861.499.977;1.816.500.092;18.5;4467224
1.854.999.924;1.873.999.977;1.854.999.924;1.873.999.977;5646882
1.873.999.977;1.881.500.053;1.862.000.084;1.881.500.053;7791860
1.881.500.053;1.899.500.084;18.75;1.881.999.969;5923057
1.881.999.969;1.894.000.053;1.864.999.962;1.885.000.038;6040577
1.885.000.038;1.895.000.076;1.847.999.954;1.870.000.076;8540227
1.870.000.076;1.889.999.962;1.863.999.939;1.879.500.008;7474722
1.879.500.008;1.882.999.992;1.862.999.916;18.75;6537266
1.871.500.015;1.898.500.061;1.871.500.015;1.880.999.947;6195547
1.880.999.947;1.885.000.038;1.840.500.069;18.5;6188342
18.5;1.869.499.969;1.820.999.908;1.834.499.931;8576749
1.842.000.008;1.883.499.908;1.842.000.008;1.870.000.076;5474443
1.870.000.076;1.884.000.015;1.840.500.069;1.864.999.962;5236797
18.75;1.888.999.939;1.859.499.931;1.873.999.977;3698346
1.870.000.076;1.870.000.076;1.820.000.076;1.827.000.046;6057088
1.827.000.046;1.864.999.962;1.787.000.084;1.850.499.916;8506736
1.862.999.916;1.871.999.931;1.817.000.008;1.829.999.924;6150483
1.849.500.084;1.895.000.076;1.842.499.924;1.874.500.084;9317415
1.874.500.084;18.875;1.861.000.061;1.871.500.015;7149099
1.871.500.015;1.892.499.924;1.863.500.023;1.876.499.939;4807918
1.876.499.939;1.898.999.977;1.852.000.046;1.884.499.931;12760773
1.872.999.954;1.885.000.038;1.867.000.008;1.875.499.916;4366914
1.867.000.008;1.884.000.015;1.835.000.038;1.847.999.954;4929433
1.847.999.954;1.860.000.038;1.818.499.947;1.834.000.015;45473232
18.25;1.848.500.061;1.818.499.947;18.375;5775687
1.838.500.023;1.864.999.962;1.838.500.023;1.842.000.008;5851519
1.863.999.939;1.879.999.924;1.852.000.046;1.868.000.031;5273551
1.868.000.031;1.879.999.924;1.852.499.962;1.869.499.969;54956636
1.869.499.969;1.897.999.954;1.868.000.031;1.894.000.053;20543620
1.889.999.962;1.889.999.962;1.862.999.916;1.872.999.954;12477312
1.872.999.954;1.897.999.954;1.846.999.931;1.849.500.084;45635724
1.849.500.084;1.888.500.023;1.845.000.076;1.886.000.061;102653568
1.845.499.992;1.868.000.031;1.845.499.992;1.853.000.069;4777502
1.855.999.947;1.871.999.931;1.855.999.947;1.860.000.038;144851376
1.870.000.076;1.881.999.969;1.863.999.939;1.878.000.069;3228856
1.878.000.069;1.885.499.954;1.867.000.008;1.873.999.977;49502276
1.877.499.962;1.884.000.015;1.863.999.939;1.872.500.038;2987900
1.876.000.023;1.890.500.069;1.876.000.023;1.882.999.992;13665681
1.883.499.908;1.903.000.069;1.883.499.908;1.888.500.023;12792600
1.888.500.023;1.897.999.954;1.879.999.924;1.879.999.924;19931384
1.879.999.924;1.893.000.031;1.868.000.031;1.880.999.947;12346950
1.890.999.985;1.896.999.931;1.874.500.084;1.879.000.092;11372020
1.879.999.924;1.916.500.092;1.879.999.924;1.885.000.038;9582063
1.885.000.038;1.896.999.931;1.853.499.985;1.867.000.008;8811927
1.867.000.008;1.881.999.969;1.853.499.985;1.860.000.038;13937247
1.872.999.954;1.881.999.969;1.864.500.046;1.870.000.076;5790062
1.870.000.076;1.881.500.053;1.837.999.916;1.837.999.916;11317970
1.837.999.916;1.851.499.939;1.830.500.031;1.845.000.076;4284633
1.845.000.076;1.872.500.038;1.827.000.046;1.867.000.008;7563380
1.867.000.008;1.870.000.076;1.797.999.954;1.809.499.931;10545105
1.809.499.931;1.829.500.008;1.768.499.947;1.777.000.046;8463417
1.768.000.031;1.778.000.069;1.727.499.962;1.739.999.962;12331230
1.739.999.962;1.747.999.954;1.715.500.069;17.25;8822119
1.714.999.962;1.746.500.015;1.707.500.076;1.734.000.015;9278662
1.732.999.992;1.732.999.992;1.701.000.023;1.713.500.023;9716475
1.713.500.023;1.743.000.031;1.687.000.084;1.687.000.084;10002854
1.687.999.916;1.734.000.015;1.687.999.916;1.714.500.046;8978480
1.714.500.046;1.720.000.076;1.690.500.069;1.706.999.969;8934448
1.710.000.038;1.742.000.008;1.692.000.008;1.739.999.962;5918497
1.739.999.962;1.745.000.076;1.703.000.069;1.704.999.924;7808159
1.709.000.015;1.716.500.092;16.375;1.644.499.969;14672580
1.643.000.031;1.643.000.031;1.580.500.031;1.581.999.969;15275780
1.582.999.992;1.628.000.069;1.581.999.969;1.623.500.061;10880450
1.623.500.061;1.637.000.084;1.601.499.939;1.629.000.092;9101998
16.375;1.662.000.084;1.620.000.076;1.631.999.969;8510333
1.645.499.992;1.657.999.992;1.610.000.038;1.626.000.023;6789545
1.626.000.023;1.659.499.931;1.614.999.962;1.622.999.954;5208062
1.623.500.061;1.647.999.954;1.623.500.061;1.632.999.992;2834031
1.648.999.977;1.660.499.954;1.629.999.924;1.654.999.924;5105529
1.665.999.985;1.692.499.924;1.665.999.985;1.673.999.977;8238494
1.673.999.977;1.699.500.084;1.665.999.985;1.695.999.908;7488921
1.695.999.908;1.714.999.962;1.670.000.076;1.709.000.015;10441878
1.709.000.015;1.742.499.924;1.695.499.992;1.699.500.084;10108298
1.699.500.084;1.718.000.031;1.660.499.954;1.677.499.962;7035554
1.677.499.962;1.682.999.992;1.638.999.939;1.660.000.038;6946559
1.660.000.038;1.676.000.023;1.615.999.985;1.636.000.061;9649660
1.636.000.061;1.663.500.023;1.635.499.954;1.663.500.023;7683155
1.688.500.023;1.692.000.008;1.663.999.939;1.684.000.015;5519167
1.684.000.015;1.709.000.015;1.676.000.023;1.704.000.092;7928997
1.704.000.092;1.723.500.061;1.683.499.908;1.714.999.962;5986828
1.714.999.962;1.723.500.061;1.697.500.038;1.715.999.985;8067518
1.701.000.023;1.774.500.084;17;1.767.499.924;10721519
1.767.499.924;1.794.000.053;17.625;1.788.999.939;7166508
1.788.999.939;1.795.999.908;1.755.500.031;1.773.999.977;5921115
