periode;suhu
01/01/2022;25,32
02/01/2022;24,44
03/01/2022;25,03
04/01/2022;26,05
05/01/2022;26,73
06/01/2022;26,21
07/01/2022;26,13
08/01/2022;26,23
09/01/2022;26,48
10/01/2022;25,96
11/01/2022;26,08
12/01/2022;26,15
13/01/2022;25,97
14/01/2022;25,8
15/01/2022;26,08
16/01/2022;26,18
17/01/2022;25,9
18/01/2022;25,07
19/01/2022;24,59
20/01/2022;25,98
21/01/2022;26,82
22/01/2022;26,37
23/01/2022;26,51
24/01/2022;25,48
25/01/2022;26,24
26/01/2022;25,67
27/01/2022;26,1
28/01/2022;26,76
29/01/2022;27,08
30/01/2022;26,58
31/01/2022;26,06
01/02/2022;26,15
02/02/2022;25,76
03/02/2022;26,49
04/02/2022;26,13
05/02/2022;24,96
06/02/2022;24,39
07/02/2022;24,5
08/02/2022;24,83
09/02/2022;24,31
10/02/2022;23,35
11/02/2022;24,56
12/02/2022;25,35
13/02/2022;26,23
14/02/2022;25,55
15/02/2022;25,23
16/02/2022;26
17/02/2022;26,29
18/02/2022;26,51
19/02/2022;25,73
20/02/2022;26,46
21/02/2022;25,68
22/02/2022;26,17
23/02/2022;25,39
24/02/2022;24,09
25/02/2022;25,48
26/02/2022;25,38
27/02/2022;25,06
28/02/2022;25,83
01/03/2022;25,26
02/03/2022;26,06
03/03/2022;25,73
04/03/2022;26,01
05/03/2022;25,67
06/03/2022;25,31
07/03/2022;25,83
08/03/2022;25,62
09/03/2022;25,88
10/03/2022;25,69
11/03/2022;26,1
12/03/2022;25,66
13/03/2022;26,9
14/03/2022;26,17
15/03/2022;26,25
16/03/2022;26,04
17/03/2022;25,88
18/03/2022;26,71
19/03/2022;26,57
20/03/2022;26,09
21/03/2022;26,5
22/03/2022;26,51
23/03/2022;26,66
24/03/2022;27,11
25/03/2022;27,01
26/03/2022;27,07
27/03/2022;26,76
28/03/2022;26,55
29/03/2022;26,11
30/03/2022;26,84
31/03/2022;26,37
01/04/2022;26,26
02/04/2022;26,08
03/04/2022;26,35
04/04/2022;26,23
05/04/2022;25,63
06/04/2022;25,18
07/04/2022;25,33
08/04/2022;26,1
09/04/2022;25,72
10/04/2022;26,15
11/04/2022;25,6
12/04/2022;26,15
13/04/2022;26,31
14/04/2022;26,58
15/04/2022;26,31
16/04/2022;26,6
17/04/2022;26,95
18/04/2022;25,96
19/04/2022;26,07
20/04/2022;26,01
21/04/2022;25,99
22/04/2022;26,92
23/04/2022;26,44
24/04/2022;25,93
25/04/2022;25,08
26/04/2022;26,17
27/04/2022;26,74
28/04/2022;26,4
29/04/2022;26,41
30/04/2022;26,74
01/05/2022;26,83
02/05/2022;26,73
03/05/2022;26,01
04/05/2022;26,3
05/05/2022;27,4
06/05/2022;27,59
07/05/2022;27,05
08/05/2022;27,12
09/05/2022;26,77
10/05/2022;27,4
11/05/2022;26,36
12/05/2022;27,09
13/05/2022;27,08
14/05/2022;27,57
15/05/2022;26,94
16/05/2022;26,3
17/05/2022;26,55
18/05/2022;26,89
19/05/2022;26,43
20/05/2022;26,54
21/05/2022;26,25
22/05/2022;26,09
23/05/2022;26,19
24/05/2022;26,32
25/05/2022;25,34
26/05/2022;25,57
27/05/2022;26,25
28/05/2022;25,65
29/05/2022;26,07
30/05/2022;26,16
31/05/2022;26,6
01/06/2022;26,87
02/06/2022;25,61
03/06/2022;25,91
04/06/2022;26
05/06/2022;26,16
06/06/2022;25,48
07/06/2022;26,08
08/06/2022;25,88
09/06/2022;25,98
10/06/2022;26,2
11/06/2022;26,09
12/06/2022;25,48
13/06/2022;26,24
14/06/2022;26,05
15/06/2022;25,55
16/06/2022;25,49
17/06/2022;25,33
18/06/2022;26,29
19/06/2022;26,17
20/06/2022;25,51
21/06/2022;25,39
22/06/2022;25,61
23/06/2022;25,69
24/06/2022;25,58
25/06/2022;25,29
26/06/2022;26
27/06/2022;27
28/06/2022;26,48
29/06/2022;25,78
30/06/2022;25,13
01/07/2022;25,43
02/07/2022;26,43
03/07/2022;26,91
04/07/2022;26,85
05/07/2022;26,38
06/07/2022;26,33
07/07/2022;26,61
08/07/2022;26,36
09/07/2022;26,21
10/07/2022;26,12
11/07/2022;26,2
12/07/2022;25,79
13/07/2022;25,75
14/07/2022;26,38
15/07/2022;26,43
16/07/2022;26,71
17/07/2022;26,51
18/07/2022;27,11
19/07/2022;26,93
20/07/2022;26,13
21/07/2022;25,51
22/07/2022;25,65
23/07/2022;26,55
24/07/2022;26,05
25/07/2022;25,94
26/07/2022;26,04
27/07/2022;26,2
28/07/2022;26,08
29/07/2022;26,16
30/07/2022;26,15
31/07/2022;26,71
01/08/2022;26,69
02/08/2022;25,9
03/08/2022;25,09
04/08/2022;25,32
05/08/2022;26,28
06/08/2022;26,91
07/08/2022;26,31
08/08/2022;26,67
09/08/2022;27
10/08/2022;26,35
11/08/2022;26,32
12/08/2022;26,77
13/08/2022;26,48
14/08/2022;26,35
15/08/2022;26,4
16/08/2022;26,38
17/08/2022;26,49
18/08/2022;26,37
19/08/2022;26,55
20/08/2022;26,12
21/08/2022;25,48
22/08/2022;25,9
23/08/2022;25,91
24/08/2022;26,4
25/08/2022;26,39
26/08/2022;25,71
27/08/2022;25,51
28/08/2022;25,73
29/08/2022;25,73
30/08/2022;25,71
31/08/2022;26,43
01/09/2022;26,23
02/09/2022;26,05
03/09/2022;26,23
04/09/2022;25,89
05/09/2022;26,03
06/09/2022;25,95
07/09/2022;25,65
08/09/2022;25,5
09/09/2022;25,65
10/09/2022;26,28
11/09/2022;25,6
12/09/2022;26,33
13/09/2022;25,83
14/09/2022;24,56
15/09/2022;26,12
16/09/2022;26,01
17/09/2022;25,61
18/09/2022;25,37
19/09/2022;25,65
20/09/2022;25,63
21/09/2022;25,65
22/09/2022;25,4
23/09/2022;25,83
24/09/2022;25,74
25/09/2022;25,8
26/09/2022;25,82
27/09/2022;26,01
28/09/2022;26,49
29/09/2022;26,56
30/09/2022;26,54
01/10/2022;26,19
02/10/2022;25,83
03/10/2022;26,42
04/10/2022;26,53
05/10/2022;26,19
06/10/2022;26,23
07/10/2022;25,01
08/10/2022;26,05
09/10/2022;26,11
10/10/2022;25,37
11/10/2022;26,22
12/10/2022;25,64
13/10/2022;26,57
14/10/2022;25,99
15/10/2022;26,12
16/10/2022;26,49
17/10/2022;26,44
18/10/2022;26,76
19/10/2022;26,05
20/10/2022;26,22
21/10/2022;26,54
22/10/2022;25,87
23/10/2022;25,67
24/10/2022;25,76
25/10/2022;25,57
26/10/2022;25,38
27/10/2022;26,15
28/10/2022;26,5
29/10/2022;26,55
30/10/2022;26,16
31/10/2022;26,15
